"deaths","district_code","year","population"
32,"Lambeth_1","1854",12407
27,"Lambeth_2","1854",9403
75,"Lambeth_3","1854",10998
68,"Lambeth_4","1854",10099
6,"Lambeth_5","1854",8243
5,"Lambeth_6","1854",9347
58,"Lambeth_7","1854",7749
78,"Lambeth_8","1854",11974
34,"Lambeth_9","1854",9739
84,"Lambeth_10","1854",12912
60,"Lambeth_11","1854",10516
9,"Lambeth_12","1854",8328
57,"Lambeth_13","1854",10633
-16,"Lambeth_14","1854",7684
112,"Lambeth_15","1854",9221
139,"Lambeth_16","1854",11480
22,"Lambeth_17","1854",8843
-12,"Lambeth_18","1854",8866
68,"Lambeth_19","1854",10154
33,"Lambeth_20","1854",8833
