"deaths","district_code","year","population"
52,"SV_1","1854",10967
47,"SV_2","1854",8476
95,"SV_3","1854",9685
88,"SV_4","1854",8953
26,"SV_5","1854",7562
25,"SV_6","1854",8484
78,"SV_7","1854",7020
98,"SV_8","1854",10491
54,"SV_9","1854",8738
104,"SV_10","1854",11258
80,"SV_11","1854",9321
29,"SV_12","1854",7625
77,"SV_13","1854",9426
4,"SV_14","1854",7151
132,"SV_15","1854",8111
159,"SV_16","1854",9926
42,"SV_17","1854",8022
8,"SV_18","1854",8126
88,"SV_19","1854",8999
53,"SV_20","1854",7985
